date,site,rgb,multispec,sunsens,project_path,image_load_status
20250528,Pfynwald,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250528,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250528,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Pfynwald\20250528\metashape_project_Pfynwald_20250528.psx,skipped (exists)
20250606,Stillberg,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20250606,M:\working_package_2\2024_dronecampaign\01_data\Micasense\stillberg\20250606,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Stillberg\20250606\metashape_project_Stillberg_20250606.psx,skipped (exists)
20250606,Martelloskop,M:\working_package_2\2024_dronecampaign\01_data\P1\marteloskop\20250606,M:\working_package_2\2024_dronecampaign\01_data\Micasense\marteloskop\20250606,True,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Marteloskop\20250606\metashape_project_Marteloskop_20250606.psx,skipped (exists)
20250610,Sanasilva-50845,M:\working_package_2\2024_dronecampaign\01_data\P1\sanasilva_50845\20250610,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sanasilva_50845\20250610,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Brüttelen_sanasilva50845\20250610\metashape_project_Brüttelen_sanasilva50845_20250610.psx,skipped (exists)
20250610,Sanasilva-50877,M:\working_package_2\2024_dronecampaign\01_data\P1\sanasilva_50877\20250610,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sanasilva_50877\20250610,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Schüpfen_sanasilva50877\20250610\metashape_project_Schüpfen_sanasilva50877_20250610.psx,skipped (exists)
20250611,treenet_sempach,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20250611,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20250611,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Sempach_treenet\20250611\metashape_project_Sempach_treenet_20250611.psx,skipped (exists)
20250611,lwf_schänis,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20250611,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20250611,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Schänis_LWF\20250611\metashape_project_Schänis_LWF_20250611.psx,skipped (exists)
20250616,lwf_isone,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20250616,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20250616,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Isone_LWF\20250616\metashape_project_Isone_LWF_20250616.psx,skipped (exists)
20250616,sagno,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20250616,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20250616,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Sagno_treenet\20250616\metashape_project_Sagno_treenet_20250616.psx,skipped (exists)
20250619,lwf_neunkirch,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20250619,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20250619,False,M:\working_package_2\2024_dronecampaign\02_processing\metashape_projects\Upscale_Metashapeprojects\Neunkirch_LWF\20250619\metashape_project_Neunkirch_LWF_20250619.psx,skipped (exists)
