date,site,weather,multispec,rgb
20250916,Pfynwald ,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20250916,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20250916
20250916,treenet_salgesch,changing conditiona,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_salgesch\20250916,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_salgesch\20250916
20250917,Sanasilva-50845,sunny no clouds,Folder not found,Folder not found
20250917,Sanasilva-50877,sunny no clouds,Folder not found,Folder not found
20251006,lwf_isone,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_isone\20251006,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_isone\20251006
20251006,sagno,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\sagno\20251006,M:\working_package_2\2024_dronecampaign\01_data\P1\sagno\20251006
20251001,treenet_sempach,cloudy ,M:\working_package_2\2024_dronecampaign\01_data\Micasense\treenet_sempach\20251001,M:\working_package_2\2024_dronecampaign\01_data\P1\treenet_sempach\20251001
20251001,lwf_schänis,wechselhaft bewölkt,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_schänis\20251001,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_schänis\20251001
20251002,Stillberg,sunny no clouds,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Stillberg\20251002,M:\working_package_2\2024_dronecampaign\01_data\P1\Stillberg\20251002
20251002,Martelloskop,sunny no clouds,Folder not found,Folder not found
20251002,LWF-Davos,sunny no clouds,Folder not found,Folder not found
20251003,lwf_neunkirch,overcast,M:\working_package_2\2024_dronecampaign\01_data\Micasense\lwf_neunkirch\20251003,M:\working_package_2\2024_dronecampaign\01_data\P1\lwf_neunkirch\20251003
20251003,Wangen Brüttisellen,overcast,Folder not found,Folder not found
20251016,Pfynwald ,cloudy,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20251016,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20251016
20251104,Pfynwald ,full shade,M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20251104,M:\working_package_2\2024_dronecampaign\01_data\P1\Pfynwald\20251104
20251105,Laegeren,sunny no clouds,Folder not found,Folder not found
