mrk_time_iso,mrk_time_epoch,mrk_file,line,quality
2025-10-02 10:45:16.184,1759394716.184364,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,10,0.014831,
2025-10-02 10:45:16.239,1759394716.239873,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,238,0.014643,
2025-10-02 10:45:17.199,1759394717.199760,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,11,0.014854,
2025-10-02 10:45:17.356,1759394717.356709,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,239,0.014643,
2025-10-02 10:45:18.558,1759394718.558696,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,240,0.014643,
2025-10-02 10:45:18.618,1759394718.618481,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,12,0.014890,
2025-10-02 10:45:19.745,1759394719.745217,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,241,0.014643,
2025-10-02 10:45:19.801,1759394719.801464,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,13,0.014879,
2025-10-02 10:45:20.978,1759394720.978099,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,242,0.014643,
2025-10-02 10:45:20.997,1759394720.997613,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,14,0.014860,
2025-10-02 10:45:21.562,1759394721.562492,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,243,0.014643,
2025-10-02 10:45:22.193,1759394722.193373,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,15,0.014843,
2025-10-02 10:45:22.784,1759394722.784904,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,244,0.014643,
2025-10-02 10:45:23.423,1759394723.423929,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,16,0.014875,
2025-10-02 10:45:23.967,1759394723.967932,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,245,0.014643,
2025-10-02 10:45:24.507,1759394724.507449,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,17,0.014892,
2025-10-02 10:45:24.983,1759394724.983636,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,246,0.014643,
2025-10-02 10:45:25.721,1759394725.721891,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,18,0.014913,
2025-10-02 10:45:26.467,1759394726.467574,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,247,0.014643,
2025-10-02 10:45:26.920,1759394726.920666,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,19,0.014803,
2025-10-02 10:45:27.597,1759394727.597653,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,248,0.014643,
2025-10-02 10:45:28.135,1759394728.135146,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,20,0.014453,
2025-10-02 10:45:28.595,1759394728.595657,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,249,0.014643,
2025-10-02 10:45:29.176,1759394729.176976,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,250,0.014643,
2025-10-02 10:45:29.315,1759394729.315796,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,21,0.014442,
2025-10-02 10:45:30.095,1759394730.095938,M:\working_package_2\2024_dronecampaign\01_data\P1\Marteloskop\20251002\DJI_202510021240_003_marteloskopp1mica60m\DJI_202510021240_003_marteloskopp1mica60m_Timestamp.MRK,251,0.014643,
